user,location,text
PublimetroMX,Ciudad de México,"Esto costará #iPhoneSE en México 👇

https://t.co/4ZiN0cTjcM"
jl_hoz,"Madrid, Spain","Procesador A13, Touch ID, diseño del iPhone 8 (4.7""), doble SIM, resistencia al agua, batería y cámara similar al i… https://t.co/0pxNw0pCv6"
RIDNoticias,"Oaxaca, México 📩 ridmxnoticias@gmail.com","#PorQuéEsTendencia #⃣❔

🔵 #Apple es tendencia tras la presentación del nuevo #iPhoneSE, el #smartphone más económic… https://t.co/PPZS5GW28X"
JoiaribJoaquin,México,Apple presenta por sorpresa y de incógnito la nueva generación de su iPhone de gama baja: el #iPhoneSE 2020.
jimmunari,Lima,Apple acaba de lanzar la segunda versión del iPhone SE. Este nuevo dispositivo posee el mismo procesador del iPhone… https://t.co/He5g0JUXPM
proyectonovac,Venezuela.,"¡Nuevos iPhones SE 2020! #Apple #iPhone #iPhoneSE #ProyectoNovac 

https://t.co/daIn1JhJ1I https://t.co/x8tN7jsCtv"
eatisep,,"Nuevo #iPhoneSE ve que quiere recuperar mercado que perdió contra los #Huawei 😜
📱Diseño: iPhone 8
📸 Cámara: iPhone… https://t.co/8g0qUDjFIy"
nubesaltasbta,"Bogotá, D.C., Colombia","HASTA KIKO LO SABE NO SEAS TAN BORREGO

@MarioRHernande1 @denuncia_bogota @TuDenunciaCL #ElGalloALaParrilla… https://t.co/qzzs6cNG2r"
FeniXBMS,"Madrid, Comunidad de Madrid",El hermanito pequeño de mi gran y mas adorado IPHONE el #iPhone7Plus acaba de nacer y pronto estará entre nosotros… https://t.co/LUWEfRj0FM
blodico,,iPhone SE (2020): la evolución del smartphone más asequible de Apple es promet #IPhoneSE #Precio #Ficha https://t.co/5EZpQ1v7AC #followme
alfa913fm,"México, D.F","Apple anuncia la llegada del #iPhoneSE ¿Qué tendrá de diferente y cuánto costará? 📱

https://t.co/lx2Iocuf0i https://t.co/dqvxEeyxbk"
GamesFilms_,España,"#apple @Apple El nuevo iPhone SE, una gran idea o un error?????
#CuarentenaInteligente #YoMeQuedoEnCasa #iPhoneSE #iPhone"
Apperlas,,En nuestro canal de #Telegram tenéis disponibles los  fondos de pantalla de que vienen con el nuevo #iPhoneSE 👉🏼 https://t.co/oNu2cMNP9p
Chocolatita__,,"Diosito ya queire que cambie de cel y por eso mando el #iPhoneSE, quién soy yo para ir en contra de sus deseos?"
ElgranFaveador,,¿Quieres o necesitas el #IphoneSE? Si respondes con la verdad estarás más cerca de la felicidad.
willbelt1,"Bogotá, D.C., Colombia",@CaracolRadio Comprar el #iPhoneSE o hacer mercado....... difícil decisión #CoronavirusColombia #CoronaCrisis
pedroaznar,"Barcelona, España","Las primeras preguntas sobre el nuevo #iPhoneSE, contestadas! 🙌🏼 https://t.co/fj63BmT1xS"
lockoutmedia,,Esta noche a las 22:00 en IG Live anunaciamos el ganador del sorteo de Escapa en casa. ¡No te lo pierdas! 😄… https://t.co/C8ZTclLlON
carogh4,,ok me acabo de enterar que sacaron un #iPhoneSE sustituyendo al #iPhone8 tipooooooooooo??? ya no podre vender mi ip… https://t.co/lQvkfk1AtN
El_Maak,"Paris, France","Bienvenue en 2015
#iPhoneSE https://t.co/aqaItq5FAi"
ProyectoBrujula,"Cancún, Q. Roo, México","Es un hecho el nuevo #iPhoneSE ya es una realidad, y puedes verlo en la pagina oficial de #Apple, aun no tiene fech… https://t.co/i07VKFrRt2"
the0_0disaster,"Madrid, Comunidad de Madrid","Un video impresionante sobre el NUEVO IPHONE SE DE 2020

https://t.co/MGsdY7Cd5T

#iPhoneSE #iPhoneSE2 #iphonese2020 https://t.co/Yh18Nv0trL"
ChristianCruzB,"Ciudad Obregón, Sonora, México","Ya llegó el nuevo #iphoneSE ¿opiniones?

Creo que el precio sería lo más atractivo. https://t.co/Ep7lJMvCGY"
hismeldys03,"Sosua, Dominican Republic",El nuevo #iPhoneSE es como cuando llevas años tratando de que tú crush te haga caso y cuando por fin lo logras por… https://t.co/fMn1vipU9F
dotomx,Lomas de Tecamachalco,"¿Vieron el lanzamiento del nuevo #iPhoneSE ? Queremos saber sus opiniones! 

A nosotros nos pareció una excelente o… https://t.co/jOyJrzK8Qw"
MarcoDlMonte,"Querétaro, Mx - Córdoba, Es ",Alguien más piensa que el nuevo #iPhoneSE es el #iphone7 renovado??? https://t.co/l2A1cwFXyn
24hpue,"Puebla, México","#Apple presentó el nuevo #iPhoneSE 📱, tiene la apariencia del 8 pero la potencia del 11.
¿Qué te parece?
https://t.co/Ugg2LiZrdU"
Naguastech,,Todo sobre el nuevo iPhone SE y porqué deberías de comprarlo. https://t.co/Uw0k3lbGWY. #iPhoneSE #iphonese2020… https://t.co/ZWWJ5b3TCA
NOWReclama,,"Consumo responsable es un concepto defendido por organizaciones ecológicas, sociales y políticas que consideran que… https://t.co/HNAnTwiDJc"
ExpansionMx,México,"El nuevo #iPhoneSE tendrá un menor precio, estará disponible en tres colores; blanco, negro, rojo y será capaz de g… https://t.co/8wNvgGtRcR"
DanOv95924214,"Bogotá, D.C., Colombia","Enserio les parece económico un celular de 1,563,868.53 peso colombiano? en esta crisis? son solo marca pero de cal… https://t.co/HbCERfKjp8"
applesfera,España,¡Nuevo Applesfera 🔴Live ya disponible! Te lo contamos TODO sobre el nuevo #iPhoneSE: @pedroaznar y @eaala repasan s… https://t.co/zqVlIhfMz2
Emilian1417,En algun lugar del mundo,Comprarme el iphone 11 o el #iPhoneSE ? 😩
_galder_9,sofista,ENTRE LOS QUE VOTEN AQUÍ A POTI Y ME PASEN CAPTURA SORTEO UN IPHONE 11 #IPHONESE #IPHONE #IPHONE11 IPHONE SE https://t.co/StPhm3tH6v
Elbufondelfutb1,Túnel de vestuarios,- Sepárate un poco q estás a menos de metro y medio. #iPhoneSE #Tezanos #TierraDeNadie8 https://t.co/eEdQIzGQP9
einrucken,"Vigo, España",Sale el #iPhoneSE Se lo va a comprar su puta madre
requetebu,,Que espectáculo. Y así es como Apple hace que hasta las cosas más sencillas.. sean las más especiales. BOOM 💣… https://t.co/A0Ml3olKaG
Hormigadigital,Chile-Costa Rica-Venezuela-EEUU,"Con dispositivos como el #iPhoneXR y el #iPhone11 , #Apple ha intentado, y en gran medida logrado, hacer que alguna… https://t.co/O2J7mwxKCV"
supergeekcl,,"Así es el iPhone de bajo costo y ""retro""📱 #iPhoneSE2 #QuedateEnCasa #iPhoneSE 
https://t.co/qz1v55BGBi"
CarlosSanchezMX,Monterrey,"Tenemos un mes en cuarentena y faltan otros dos, déjame me compro el nuevo #iPhoneSE que son las sobras del… https://t.co/CLQDwVreVk"
ImLeism,"Buenos Aires, Argentina","Bueno ahora que sale el nuevo IPhoneSE me voy a poder comprar el IPhone6 que debe estar más barato 

#iPhoneSE"
Enterados_pe,Lima,"Conoce todas las características del nuevo #iPhoneSE , precio y disponibilidad #iPhoneSE2020 #Apple
https://t.co/PkrLbei29K"
Carloscastro_82,"Málaga, Andalucía",Apple presenta el nuevo iPhone SE 2020 https://t.co/yPstcDPlDB #iPhoneSE #iphonese2020 #iPhoneSE2
nohaynovela,,Nuevo #iPhoneSE !! https://t.co/2GkrC8nm5N
GdlIphone,,YA SALIÓ EL iPhone SE 2020!!!!! Durante el día les estaremos dando más detalles del nuevo modelito! :D… https://t.co/gRs5GOx1tG
GdlIphone,,Amigos! Como están el día de hoy? Particularmente nosotros amanecimos con muy buena vibra y actitud! Les deseamos l… https://t.co/h2Subg5dno
TechneMexico,México,"Apple presenta el iPhone SE 2020: bueno, bonito y barato https://t.co/hIKiYKo58o #FelizMiércoles #Noticias #Apple… https://t.co/6Pq0sCiKfQ"
OneThingApple,,"#LoMasLeido #iPhoneSE es oficial, completo hasta en el precio #Apple

 https://t.co/4qLrL5W71m"
Kidd089,,"¿Pantalla de 4.7 qué es esto, volver al iPod touch en pleno 2020 ? Por casi 12 mil varios tienen celulares con full… https://t.co/vTkSZ03yr7"
LRTendencias,,#Apple presenta oficialmente al nuevo #iPhoneSE 2020 económico ► https://t.co/IslXHX2IvY https://t.co/VdhpmqftkI
franciscobachez,El Salvador,Como viene @Apple y lanza así por así el nuevo iPhone SE. ¡Me encanta! 💙 #iPhoneSE
Gerard_HC,Torredonjimeno - Jaén,Esperaba bastante más de este modelo.... vaya decepción @Apple #iPhoneSE https://t.co/845Q5NrN2e
enfasisnoticias,Ciudad de México,"#Entérate 

@Apple presenta su nuevo #iPhoneSE; el más económico de toda su gama de smartphones. Posee diversas car… https://t.co/YLpCCdqARm"
RICARDOCOTTA,"MEXICO CITY, MX","Apple lanza hoy los nuevos #iPhoneSE con precios para México desde los $10,999 https://t.co/Il6mHNi9wt"
A_iPhone,,"El nuevo iPhone SE incluye WiFi 6 y soporte para tarjeta Express, pero no lleva el chip U1: Bueno, después de tanto… https://t.co/xBErZOhKqI"
ANRDVZ,,Mucha gente está tirando demasiado hate en contra del nuevo #iPhoneSE sin darse cuenta que lo que están intentando… https://t.co/zQAmptYDQR
Risc2m,,"@Apple tan difícil era hacer algo así??? #iPhoneSE cero innovación.... #desilusion no lo compraré, lo quería para t… https://t.co/kyN1PwkPS6"
ReformaGadgets,México,"Con ustedes, el nuevo #iPhoneSE https://t.co/QNxWw5wMF6"
Digital_Too,"Miami, Florida","Apple reveló el iPhone SE: conoce sus carecterísticas 

https://t.co/hhOD5J3XH3

#iPhoneSE #Apple #iPhone #iPhoneSE2 https://t.co/7z1IDhc9kp"
Albertrl,México D.F,Será prudente comprar el nuevo #iPhoneSE 🤩🤩🤩
Risc2m,,"@Apple tan difícil era hacer algo así??? #iPhoneSE cero innovación.... #desilusion no lo compraré, lo quería para t… https://t.co/JBI3eYJDZW"
AnzonyReyes,,#IphoneSE lo nuevo de @Apple https://t.co/oeUhO5RFC4
jorgeml81,"Tabasco, México",Que onda con #apple y su muy retro #iPhoneSE📱 cuando saldrá del 2010 ?
Geeknetic,Spain,"Apple ha anunciado el nuevo #iPhoneSE, un modelo renovado con el SoC #A13Bionic y una pantalla Retina HD de 4.7"". S… https://t.co/XD3IKsypFS"
cactus24noticia,"Punto Fijo, Falcón",#15Abr #Tecnologia ¡El #iPhoneSE 2020 ya es oficial! el móvil más barato de #Apple https://t.co/V06T90jFHR https://t.co/J02cPaTtDY
camilolondonoz,"Monterrey, Nuevo León",¿Será un buen momento para lanzar el #iPhoneSE ? 🤔
Hgarram,,"El nuevo #iPhoneSE 2020.
-
Costos en México
64GB: $10,999 
128GB: $11,999
256GB: 14,499 https://t.co/ZdLCRjZMbD"
JoseLuisChamo,Andalucía (España),Muy interesante el nuevo #iPhoneSE
ramsesm78,,"Precio del nuevo #iPhoneSE en #México 
- 64GB = 10.999 pesos
- 128GB = 11.999 pesos
- 256GB = 14.499 pesos https://t.co/4xRXEQmsK3"
martinsidra400,Asturias,"#Apple lo ha hecho por sorpresa y sin ningún anuncio anterior.
A bote pronto tiene muy buena pinta, el enlace te mu… https://t.co/OJX7yws9ax"
DigitalTrendsEs,"Portland, OR",#iPhoneSE : #Apple fulmina la gama media con su propia medicina https://t.co/MlBkov8OxI https://t.co/i5bGRLBjM1
GoldFran,"37.3953,-5.988819","[OPINIÓN] Apple presenta el iPhone SE 2020, el más económico de la historia!!! https://t.co/ZSneQIpGNr #iPhoneSE… https://t.co/0xGnYpVkRZ"
aldzalamea,"London, England","#iPhoneSE 2020, resumen rápido:
✅ Potencia, cámara, software
❌ Un diseño horrible, pantalla ridículamente enana"
damidubs,"Guayaquil, Ecuador","Lo que más me convence es que es pequeño y poderoso, lo turro es que no tiene al menos otra cámara, la del súper gr… https://t.co/yurNcFCVdO"
Aura_,México,"¿Les emociona el nuevo #iPhoneSE?
Es el más económico de la marca y su precio es de 10,999 pesos.
https://t.co/pBPvgqmFaI"
adrylahoz_,,"Ya disponible el #iPhoneSE (supuesto iPhone 9). Creo que ha sido buena idea lanzar éste dispositivo, para todos aqu… https://t.co/WtdJQ3onwm"
Nachom3,Madrid,Mientras tanto @Apple saca a la venta nuevos accesorios y el iPhone SE totalmente renovado pero claro... más de lo… https://t.co/a8964jjw8r
sabesmacqnadie,En el ciberespacio,Si piensas comprarte el #iPhoneSE te recomiendo la versión (PRODUCT)RED al estar al mismo precio que los otros y co… https://t.co/HCayju9KCO
soyeldamm96,"Monterrey, Mexico","Nuevo iPhone ha llegado. El reemplazo del 8, #iPhoneSE. 

Y más barato... en México los precios son:

* 64GB = 10.9… https://t.co/dhnsSzYlkA"
jjjosealf,Everywhere,Una presentación silenciosa. Un nuevo teléfono. Un nuevo iPhone. Una empresa que logra cambiar la temática del time… https://t.co/OU1t0aapPc
sejoluis,Madrid,Al parecer empieza una competencia por abarcar ese nuevo mercado global qué deberá tener precios bajos! #COVID19… https://t.co/VK1bWydngB
tyamhd,MÉXICO,Conozcan los nuevos #iPhoneSE https://t.co/Jjl2aQ8o4F
javier_rd_,"El Prat de Llobregat, España",@Apple aun tiene que hacer cambios en su web. El iPhone 8 sigue estando en vez del nuevo #iPhoneSE… https://t.co/RZjQVEfexS
ArroyoDonateR,,Habemus nuevo #iPhoneSE
antoniorentero,Murcia (España),"Flipando con el nuevo #iPhoneSE #iphonese2020

Desde 489 € con 64 Gb. Con el procesador A13 Bionic (¡el del iPhone… https://t.co/3nmtBPhTbn"
atodochip,"Madrid, Spain",Vaya tamaño interesante #iPhoneSE = +- #iPhone7 https://t.co/qaQ4n0suHq
x_tarrago,"Caldes de Montbui, España","Me parece un acierto total las carcterísticas que ofrece el nuevo #iPhoneSE (2020). Una pantalla de 4,7"" es un acie… https://t.co/IiXHTXDmXc"
MarcoDaCostaFX,StocksLand 💵🛢🔋⛽️,$AAPL 📱#Apple saca el #iPhoneSE a 399 dólares ante la parálisis económica por el #coronavirus 🦠 - #Bolsa #Nasdaq… https://t.co/G5qpoXdqQz
TendenciasTech,"Minnesota, USA","#Tecnología - El nuevo #iPhoneSE de Apple ya está aquí y éstas algunas de sus especificaciones:

 4.7 pulgadas (par… https://t.co/SoE6vVoHlX"
TendenciasTech,"Minnesota, USA",#Tecnología - A las 13:00hrs tendremos un LIVE en Facebook para hablar y resolver todas sus dudas sobre el nuevo… https://t.co/AqU92LJfj5
Mr_RivMort,España,Pegado al directo de @applesfera con @pedroaznar y @eaala para ver la primeras impresiones de la salida del nuevo… https://t.co/8AH4gbRcs4
Charleeyya,Perfil personal.  Relax ,"Lo había dado por muerto pero el #iPhoneSE regresa y en plena contingencia. Por su precio de 10,000 pesos podría, e… https://t.co/GI0E4joAWw"
Cinecoolvalley,Manchester Reino Unido,Nuevo Iphone SE. Me llamó la atención que es dual sim. Espero que sea para todos los países. Su máxima capacidad es… https://t.co/n02WkyrNY4
planner_code,,Lanzamiento del tan esperado iPhone asequible (#iPhoneSE) y de los nuevos teclados con trackpad para los #iPadPro.… https://t.co/imE4cMxxIh
parentesis,México,A las 13:00hrs tendremos un LIVE en Facebook para hablar y resolver todas sus dudas sobre el nuevo #iPhoneSE https://t.co/JCYI0oVhcj
NachoVicenteG,"Valencia, España",Se queda. #iPhoneSE #sequeda https://t.co/HJZk2M4igo
sabio28,"Cd Juárez - Dallas, Texas","Apple lanza un nuevo iPhone más barato en medio de la crisis global. 
Apple presenta su más reciente iPhone: un mod… https://t.co/i8BdYYzruu"
hugo23oc,,El #iPhoneSE es un iPhone 8 tuneado... eres perverso Apple...
SrVaryado,"Callao, Perú",".@Apple presentó el nuevo #iPhoneSE. Muy parecido al 8, pero con el nuevo procesador #A13Bionic y cambios que se de… https://t.co/Td6D4ha0HE"
JulioArmijos,GYE,"Resulta que @apple ha lanzado un nuevo iPhone 7 con nuevo nombre y carga inalámbrica

#iPhoneSE https://t.co/CjCrmgDevR"
ferropiposo,Tomorrowland,"Nuevo iPhone SE: 

Chip A13 Bionic
Carga inalámbrica / WIFI6
Compatible con modo retrato 
Pantalla retina HD 4.7 pu… https://t.co/EYfvyPrhHK"
Viatea,prensa@viatea.es,"El nuevo #iPhoneSE es un iPhone 8 por fuera y un iPhone 11 Pro por dentro 🥰

Te invitamos a conocer todos los detalles 🔽🔽"
JPsosa,"Querétaro Arteaga, México","Lanazamiento del #iPhoneSE así como los nuevos de @HuaweiMobileMx @SamsungMexico @MxApple me hacen preguntar
¿Quien… https://t.co/e3vZzCKyDC"
AnaFariasSe,,"Nuevo iPhone SE: 

Chip A13 Bionic
Carga inalámbrica 
Compatible con modo retrato 
Pantalla retina HD 4.7 pulgadas… https://t.co/cP3HpHBkvQ"
gglomener,"Madrid, España",Te gustará más o menos el nuevo #iPhoneSE pero el vídeo es canela fina 😜 https://t.co/IWNuYzNlW6
Hgarram,,Con ustedes el nuevo #iPhoneSE 👌🏼 https://t.co/IOdw2yTDSh
Lucenaco_,"Jerez de la Frontera, España",Apple y como cargarse un pedazo dd teléfono con marcos de 2015 #iPhoneSE
_augustou,"Monterrey, Nuevo León",Necesito ese #iPhoneSE en mis venas.
ParkBero,"Barcelona, Catalunya",Me lo iba a comprar pensando que tendría el frontal blanco... Pero en negro es como no gracias. @Apple #iPhoneSE https://t.co/Krmnc5khbh
SirDiegoChi,México,El nuevo #iPhoneSE cuesta en México $11 mil pesos 😂 Es prácticamente lo mismo que el #iPhone8 de 2017 sólo que con… https://t.co/3OYeCMvzGx
anagadd,,es en serio? pantalla de marco negro hasta para el color blanco? #iPhoneSE
sabesmacqnadie,En el ciberespacio,"¡Hola #iPhoneSE, adiós iPhone 8! ...y quizás iPhone XR 🤔 https://t.co/M74lxdbE0S"
gadgerss,"Lima, Perú","#Apple presenta el nuevo #iPhoneSE, con chip A13 Bionic por US$ 399 https://t.co/V6yVlt0aEo https://t.co/vx5mzHnO8d"
eduarock28,Lima,"#Apple presenta el nuevo #iPhoneSE, con chip A13 Bionic por US$ 399 https://t.co/5C27fawfYi https://t.co/RNsavXenNu"
applesfera,España,"Especial Applesfera 🔴Live sobre el #iPhoneSE, con @pedroaznar y @eaala... ¡En 10 minutos! 

Justo aquí:… https://t.co/vRZCRmfG3y"
Saulv83,"Culiacán, Sinaloa",El nuevo #iPhoneSE  mas economico de 64 GB 11mil pesos y es barato segun....
Caracol_Cali,Cali Colombia,"#CaliEsCaracol | #Tecnologia 📱#Apple Lanzó su nuevo #iPhoneSE, será entregado a domicilio después del 24 de abril,… https://t.co/GzuedQG0WQ"
aboutsabela,"Barcelona, Spain","iPhone ""barato"" los cojones! Pero barato DE QUÉ? DE QUÉ!?!? 489 EURAZOS😱😵

#iphonese2020 #iPhoneSE https://t.co/Sr4s5GJkKS"
carlosortegon6,"Merida, Yucatan","F, no sacaron #iPhoneSE de 5.5"""
adrianmillon,"Palma, España",Qué bien lo ha hecho apple. Ese #iphoneSE es una bestia por dentro y viene con un precio razonable.
javier_rd_,"El Prat de Llobregat, España",El marketing de Apple en españa es maravilloso con el iPhone SE. #Apple #iPhoneSE https://t.co/gfvy3now1V
iJordiTech,,No puedo estar más de acuerdo. El #iPhoneSE se va a vender muchísimo. https://t.co/ugl0hcLdgE
chacho_alvarez,"México, no se burlen",Y pues que #apple saca un NUEVO #IPhoneSE https://t.co/D1Uh5Sz3yH
Anjocaba,"Montería, Colombia",El nuevo #iPhoneSE es un iPhone 8 versión mejorada. En $400us se deja comprar. 📱 https://t.co/AINQwgWkxJ
Andermede30,Estados Unidos,"Finalmente @Apple ha dejado ver su iPhone SE (2) con diseños que ya conocíamos y muy similar al iPhone 8. 
Ahora in… https://t.co/abu6qHViMi"
evil_misterio,en algún lugar no muy lejano..,"De nuevo apple sacándose una de la  manga, de un producto antiguo integrando un software de nueva generación, a un… https://t.co/sqExbXMuAm"
PrimiumCM,Málaga,"iPhone SE (2020): el ""iPhone 9"" barato de Apple. Recupera el TouchID y ofrece un A13 Bionic por 489 euros.… https://t.co/bpiAJUmV4z"
unmundosmart,,"Apple acaba de anunciar el #iPhoneSE  2020 te contamos sus especificaciones y novedades, abrimos hilo.. https://t.co/v0uRW6lfgV"
luismesacabello,📌 Andaluz en Catalunya,Apple te quiere vender en pleno 2020 un móvil con más marcos que el Museo del Prado. #iPhoneSE
javipez,Málaga,"Nuevo #iPhoneSE de Apple: 

• Procesador A13 Bionic (el mismo que el iPhone 11 Pro).
• Mantiene botón de inicio (co… https://t.co/YxmJNVRQxm"
futurosofia1,"Barcelona, España",El #iPhoneSE fabricado por Delos. Welcome to #Westworld https://t.co/zLoyzVwGv9
damiantiscornia,,"#iPhoneSE #iPhone9 ya esta acá 
https://t.co/gxXJzGSj2l"
Naguastech,,A13 Bionic es el nuevo procesador del iPhone SE y con un diseño similar al antiguo iPhone 8. #iPhone9 #iPhoneSE… https://t.co/SvtBZ0mVMO
gglomener,"Madrid, España",Perlitas en texto que solo se permite Apple❤️#iPhoneSE https://t.co/4O3a7KVvK5
ojbaeza,"San Juan de Alicante, España","Estaba preparando un hilo comentando temas relacionados con el lanzamiento del #iPhoneSE y tal. BOOORING. 
Os lo re… https://t.co/2UT5CdHZHO"
jmanuelcarrion,,"Apple presenta iPhone SE de segunda generación, el más económico de la marca https://t.co/uZda3p4zzp @Apple… https://t.co/y7WmlvBWHK"
pedroaznar,"Barcelona, España","El seguimiento al DETALLE que hemos hecho en @applesfera del #iPhoneSE. Toda la info posible está aquí:

▶️… https://t.co/HJDw0AaMzK"
