user,location,text,sentiment,probability
alfa913fm,"México, D.F","Apple anuncia la llegada del #iPhoneSE ¿Qué tendrá de diferente y cuánto costará? 📱

https://t.co/lx2Iocuf0i https://t.co/dqvxEeyxbk",Positivo,65
GamesFilms_,España,"#apple @Apple El nuevo iPhone SE, una gran idea o un error?????
#CuarentenaInteligente #YoMeQuedoEnCasa #iPhoneSE #iPhone",Positivo,81
Apperlas,,En nuestro canal de #Telegram tenéis disponibles los  fondos de pantalla de que vienen con el nuevo #iPhoneSE 👉🏼 https://t.co/oNu2cMNP9p,Positivo,79
Chocolatita__,,"Diosito ya queire que cambie de cel y por eso mando el #iPhoneSE, quién soy yo para ir en contra de sus deseos?",Positivo,68
ElgranFaveador,,¿Quieres o necesitas el #IphoneSE? Si respondes con la verdad estarás más cerca de la felicidad.,Positivo,65
willbelt1,"Bogotá, D.C., Colombia",@CaracolRadio Comprar el #iPhoneSE o hacer mercado....... difícil decisión #CoronavirusColombia #CoronaCrisis,Positivo,59
pedroaznar,"Barcelona, España","Las primeras preguntas sobre el nuevo #iPhoneSE, contestadas! 🙌🏼 https://t.co/fj63BmT1xS",Positivo,84
lockoutmedia,,Esta noche a las 22:00 en IG Live anunaciamos el ganador del sorteo de Escapa en casa. ¡No te lo pierdas! 😄… https://t.co/C8ZTclLlON,Positivo,79
carogh4,,ok me acabo de enterar que sacaron un #iPhoneSE sustituyendo al #iPhone8 tipooooooooooo??? ya no podre vender mi ip… https://t.co/lQvkfk1AtN,Positivo,70
El_Maak,"Paris, France","Bienvenue en 2015
#iPhoneSE https://t.co/aqaItq5FAi",Positivo,68
ProyectoBrujula,"Cancún, Q. Roo, México","Es un hecho el nuevo #iPhoneSE ya es una realidad, y puedes verlo en la pagina oficial de #Apple, aun no tiene fech… https://t.co/i07VKFrRt2",Positivo,80
the0_0disaster,"Madrid, Comunidad de Madrid","Un video impresionante sobre el NUEVO IPHONE SE DE 2020

https://t.co/MGsdY7Cd5T

#iPhoneSE #iPhoneSE2 #iphonese2020 https://t.co/Yh18Nv0trL",Positivo,80
ChristianCruzB,"Ciudad Obregón, Sonora, México","Ya llegó el nuevo #iphoneSE ¿opiniones?

Creo que el precio sería lo más atractivo. https://t.co/Ep7lJMvCGY",Positivo,78
hismeldys03,"Sosua, Dominican Republic",El nuevo #iPhoneSE es como cuando llevas años tratando de que tú crush te haga caso y cuando por fin lo logras por… https://t.co/fMn1vipU9F,Positivo,63
dotomx,Lomas de Tecamachalco,"¿Vieron el lanzamiento del nuevo #iPhoneSE ? Queremos saber sus opiniones! 

A nosotros nos pareció una excelente o… https://t.co/jOyJrzK8Qw",Positivo,82
MarcoDlMonte,"Querétaro, Mx - Córdoba, Es ",Alguien más piensa que el nuevo #iPhoneSE es el #iphone7 renovado??? https://t.co/l2A1cwFXyn,Positivo,82
24hpue,"Puebla, México","#Apple presentó el nuevo #iPhoneSE 📱, tiene la apariencia del 8 pero la potencia del 11.
¿Qué te parece?
https://t.co/Ugg2LiZrdU",Positivo,74
Naguastech,,Todo sobre el nuevo iPhone SE y porqué deberías de comprarlo. https://t.co/Uw0k3lbGWY. #iPhoneSE #iphonese2020… https://t.co/ZWWJ5b3TCA,Positivo,79
NOWReclama,,"Consumo responsable es un concepto defendido por organizaciones ecológicas, sociales y políticas que consideran que… https://t.co/HNAnTwiDJc",Positivo,67
ExpansionMx,México,"El nuevo #iPhoneSE tendrá un menor precio, estará disponible en tres colores; blanco, negro, rojo y será capaz de g… https://t.co/8wNvgGtRcR",Positivo,76
DanOv95924214,"Bogotá, D.C., Colombia","Enserio les parece económico un celular de 1,563,868.53 peso colombiano? en esta crisis? son solo marca pero de cal… https://t.co/HbCERfKjp8",Negativo,64
applesfera,España,¡Nuevo Applesfera 🔴Live ya disponible! Te lo contamos TODO sobre el nuevo #iPhoneSE: @pedroaznar y @eaala repasan s… https://t.co/zqVlIhfMz2,Positivo,86
Emilian1417,En algun lugar del mundo,Comprarme el iphone 11 o el #iPhoneSE ? 😩,Positivo,67
_galder_9,sofista,ENTRE LOS QUE VOTEN AQUÍ A POTI Y ME PASEN CAPTURA SORTEO UN IPHONE 11 #IPHONESE #IPHONE #IPHONE11 IPHONE SE https://t.co/StPhm3tH6v,Positivo,72
Elbufondelfutb1,Túnel de vestuarios,- Sepárate un poco q estás a menos de metro y medio. #iPhoneSE #Tezanos #TierraDeNadie8 https://t.co/eEdQIzGQP9,Positivo,54
einrucken,"Vigo, España",Sale el #iPhoneSE Se lo va a comprar su puta madre,Positivo,60
requetebu,,Que espectáculo. Y así es como Apple hace que hasta las cosas más sencillas.. sean las más especiales. BOOM 💣… https://t.co/A0Ml3olKaG,Positivo,61
Hormigadigital,Chile-Costa Rica-Venezuela-EEUU,"Con dispositivos como el #iPhoneXR y el #iPhone11 , #Apple ha intentado, y en gran medida logrado, hacer que alguna… https://t.co/O2J7mwxKCV",Positivo,78
supergeekcl,,"Así es el iPhone de bajo costo y ""retro""📱 #iPhoneSE2 #QuedateEnCasa #iPhoneSE 
https://t.co/qz1v55BGBi",Positivo,64
CarlosSanchezMX,Monterrey,"Tenemos un mes en cuarentena y faltan otros dos, déjame me compro el nuevo #iPhoneSE que son las sobras del… https://t.co/CLQDwVreVk",Positivo,77
ImLeism,"Buenos Aires, Argentina","Bueno ahora que sale el nuevo IPhoneSE me voy a poder comprar el IPhone6 que debe estar más barato 

#iPhoneSE",Positivo,85
Enterados_pe,Lima,"Conoce todas las características del nuevo #iPhoneSE , precio y disponibilidad #iPhoneSE2020 #Apple
https://t.co/PkrLbei29K",Positivo,80
Carloscastro_82,"Málaga, Andalucía",Apple presenta el nuevo iPhone SE 2020 https://t.co/yPstcDPlDB #iPhoneSE #iphonese2020 #iPhoneSE2,Positivo,82
nohaynovela,,Nuevo #iPhoneSE !! https://t.co/2GkrC8nm5N,Positivo,84
GdlIphone,,YA SALIÓ EL iPhone SE 2020!!!!! Durante el día les estaremos dando más detalles del nuevo modelito! :D… https://t.co/gRs5GOx1tG,Positivo,80
GdlIphone,,Amigos! Como están el día de hoy? Particularmente nosotros amanecimos con muy buena vibra y actitud! Les deseamos l… https://t.co/h2Subg5dno,Positivo,86
TechneMexico,México,"Apple presenta el iPhone SE 2020: bueno, bonito y barato https://t.co/hIKiYKo58o #FelizMiércoles #Noticias #Apple… https://t.co/6Pq0sCiKfQ",Positivo,79
OneThingApple,,"#LoMasLeido #iPhoneSE es oficial, completo hasta en el precio #Apple

 https://t.co/4qLrL5W71m",Positivo,69
Kidd089,,"¿Pantalla de 4.7 qué es esto, volver al iPod touch en pleno 2020 ? Por casi 12 mil varios tienen celulares con full… https://t.co/vTkSZ03yr7",Positivo,73
LRTendencias,,#Apple presenta oficialmente al nuevo #iPhoneSE 2020 económico ► https://t.co/IslXHX2IvY https://t.co/VdhpmqftkI,Positivo,79
franciscobachez,El Salvador,Como viene @Apple y lanza así por así el nuevo iPhone SE. ¡Me encanta! 💙 #iPhoneSE,Positivo,84
Gerard_HC,Torredonjimeno - Jaén,Esperaba bastante más de este modelo.... vaya decepción @Apple #iPhoneSE https://t.co/845Q5NrN2e,Positivo,64
enfasisnoticias,Ciudad de México,"#Entérate 

@Apple presenta su nuevo #iPhoneSE; el más económico de toda su gama de smartphones. Posee diversas car… https://t.co/YLpCCdqARm",Positivo,82
RICARDOCOTTA,"MEXICO CITY, MX","Apple lanza hoy los nuevos #iPhoneSE con precios para México desde los $10,999 https://t.co/Il6mHNi9wt",Positivo,80
A_iPhone,,"El nuevo iPhone SE incluye WiFi 6 y soporte para tarjeta Express, pero no lleva el chip U1: Bueno, después de tanto… https://t.co/xBErZOhKqI",Positivo,83
ANRDVZ,,Mucha gente está tirando demasiado hate en contra del nuevo #iPhoneSE sin darse cuenta que lo que están intentando… https://t.co/zQAmptYDQR,Positivo,76
Risc2m,,"@Apple tan difícil era hacer algo así??? #iPhoneSE cero innovación.... #desilusion no lo compraré, lo quería para t… https://t.co/kyN1PwkPS6",Positivo,64
ReformaGadgets,México,"Con ustedes, el nuevo #iPhoneSE https://t.co/QNxWw5wMF6",Positivo,81
Digital_Too,"Miami, Florida","Apple reveló el iPhone SE: conoce sus carecterísticas 

https://t.co/hhOD5J3XH3

#iPhoneSE #Apple #iPhone #iPhoneSE2 https://t.co/7z1IDhc9kp",Positivo,70
Albertrl,México D.F,Será prudente comprar el nuevo #iPhoneSE 🤩🤩🤩,Positivo,85
Risc2m,,"@Apple tan difícil era hacer algo así??? #iPhoneSE cero innovación.... #desilusion no lo compraré, lo quería para t… https://t.co/JBI3eYJDZW",Positivo,64
AnzonyReyes,,#IphoneSE lo nuevo de @Apple https://t.co/oeUhO5RFC4,Positivo,83
jorgeml81,"Tabasco, México",Que onda con #apple y su muy retro #iPhoneSE📱 cuando saldrá del 2010 ?,Positivo,66
Geeknetic,Spain,"Apple ha anunciado el nuevo #iPhoneSE, un modelo renovado con el SoC #A13Bionic y una pantalla Retina HD de 4.7"". S… https://t.co/XD3IKsypFS",Positivo,77
cactus24noticia,"Punto Fijo, Falcón",#15Abr #Tecnologia ¡El #iPhoneSE 2020 ya es oficial! el móvil más barato de #Apple https://t.co/V06T90jFHR https://t.co/J02cPaTtDY,Positivo,69
camilolondonoz,"Monterrey, Nuevo León",¿Será un buen momento para lanzar el #iPhoneSE ? 🤔,Positivo,83
Hgarram,,"El nuevo #iPhoneSE 2020.
-
Costos en México
64GB: $10,999 
128GB: $11,999
256GB: 14,499 https://t.co/ZdLCRjZMbD",Positivo,76
JoseLuisChamo,Andalucía (España),Muy interesante el nuevo #iPhoneSE,Positivo,91
ramsesm78,,"Precio del nuevo #iPhoneSE en #México 
- 64GB = 10.999 pesos
- 128GB = 11.999 pesos
- 256GB = 14.499 pesos https://t.co/4xRXEQmsK3",Positivo,75
martinsidra400,Asturias,"#Apple lo ha hecho por sorpresa y sin ningún anuncio anterior.
A bote pronto tiene muy buena pinta, el enlace te mu… https://t.co/OJX7yws9ax",Positivo,80
DigitalTrendsEs,"Portland, OR",#iPhoneSE : #Apple fulmina la gama media con su propia medicina https://t.co/MlBkov8OxI https://t.co/i5bGRLBjM1,Positivo,71
GoldFran,"37.3953,-5.988819","[OPINIÓN] Apple presenta el iPhone SE 2020, el más económico de la historia!!! https://t.co/ZSneQIpGNr #iPhoneSE… https://t.co/0xGnYpVkRZ",Positivo,72
aldzalamea,"London, England","#iPhoneSE 2020, resumen rápido:
✅ Potencia, cámara, software
❌ Un diseño horrible, pantalla ridículamente enana",Positivo,62
damidubs,"Guayaquil, Ecuador","Lo que más me convence es que es pequeño y poderoso, lo turro es que no tiene al menos otra cámara, la del súper gr… https://t.co/yurNcFCVdO",Positivo,63
Aura_,México,"¿Les emociona el nuevo #iPhoneSE?
Es el más económico de la marca y su precio es de 10,999 pesos.
https://t.co/pBPvgqmFaI",Positivo,80
adrylahoz_,,"Ya disponible el #iPhoneSE (supuesto iPhone 9). Creo que ha sido buena idea lanzar éste dispositivo, para todos aqu… https://t.co/WtdJQ3onwm",Positivo,78
Nachom3,Madrid,Mientras tanto @Apple saca a la venta nuevos accesorios y el iPhone SE totalmente renovado pero claro... más de lo… https://t.co/a8964jjw8r,Positivo,74
sabesmacqnadie,En el ciberespacio,Si piensas comprarte el #iPhoneSE te recomiendo la versión (PRODUCT)RED al estar al mismo precio que los otros y co… https://t.co/HCayju9KCO,Positivo,64
soyeldamm96,"Monterrey, Mexico","Nuevo iPhone ha llegado. El reemplazo del 8, #iPhoneSE. 

Y más barato... en México los precios son:

* 64GB = 10.9… https://t.co/dhnsSzYlkA",Positivo,78
jjjosealf,Everywhere,Una presentación silenciosa. Un nuevo teléfono. Un nuevo iPhone. Una empresa que logra cambiar la temática del time… https://t.co/OU1t0aapPc,Positivo,86
sejoluis,Madrid,Al parecer empieza una competencia por abarcar ese nuevo mercado global qué deberá tener precios bajos! #COVID19… https://t.co/VK1bWydngB,Positivo,76
tyamhd,MÉXICO,Conozcan los nuevos #iPhoneSE https://t.co/Jjl2aQ8o4F,Positivo,76
javier_rd_,"El Prat de Llobregat, España",@Apple aun tiene que hacer cambios en su web. El iPhone 8 sigue estando en vez del nuevo #iPhoneSE… https://t.co/RZjQVEfexS,Positivo,73
ArroyoDonateR,,Habemus nuevo #iPhoneSE,Positivo,86
antoniorentero,Murcia (España),"Flipando con el nuevo #iPhoneSE #iphonese2020

Desde 489 € con 64 Gb. Con el procesador A13 Bionic (¡el del iPhone… https://t.co/3nmtBPhTbn",Positivo,79
atodochip,"Madrid, Spain",Vaya tamaño interesante #iPhoneSE = +- #iPhone7 https://t.co/qaQ4n0suHq,Positivo,75
x_tarrago,"Caldes de Montbui, España","Me parece un acierto total las carcterísticas que ofrece el nuevo #iPhoneSE (2020). Una pantalla de 4,7"" es un acie… https://t.co/IiXHTXDmXc",Positivo,73
MarcoDaCostaFX,StocksLand 💵🛢🔋⛽️,$AAPL 📱#Apple saca el #iPhoneSE a 399 dólares ante la parálisis económica por el #coronavirus 🦠 - #Bolsa #Nasdaq… https://t.co/G5qpoXdqQz,Positivo,66
TendenciasTech,"Minnesota, USA","#Tecnología - El nuevo #iPhoneSE de Apple ya está aquí y éstas algunas de sus especificaciones:

 4.7 pulgadas (par… https://t.co/SoE6vVoHlX",Positivo,78
TendenciasTech,"Minnesota, USA",#Tecnología - A las 13:00hrs tendremos un LIVE en Facebook para hablar y resolver todas sus dudas sobre el nuevo… https://t.co/AqU92LJfj5,Positivo,78
Mr_RivMort,España,Pegado al directo de @applesfera con @pedroaznar y @eaala para ver la primeras impresiones de la salida del nuevo… https://t.co/8AH4gbRcs4,Positivo,86
Charleeyya,Perfil personal.  Relax ,"Lo había dado por muerto pero el #iPhoneSE regresa y en plena contingencia. Por su precio de 10,000 pesos podría, e… https://t.co/GI0E4joAWw",Positivo,59
Cinecoolvalley,Manchester Reino Unido,Nuevo Iphone SE. Me llamó la atención que es dual sim. Espero que sea para todos los países. Su máxima capacidad es… https://t.co/n02WkyrNY4,Positivo,83
planner_code,,Lanzamiento del tan esperado iPhone asequible (#iPhoneSE) y de los nuevos teclados con trackpad para los #iPadPro.… https://t.co/imE4cMxxIh,Positivo,71
parentesis,México,A las 13:00hrs tendremos un LIVE en Facebook para hablar y resolver todas sus dudas sobre el nuevo #iPhoneSE https://t.co/JCYI0oVhcj,Positivo,78
NachoVicenteG,"Valencia, España",Se queda. #iPhoneSE #sequeda https://t.co/HJZk2M4igo,Positivo,65
sabio28,"Cd Juárez - Dallas, Texas","Apple lanza un nuevo iPhone más barato en medio de la crisis global. 
Apple presenta su más reciente iPhone: un mod… https://t.co/i8BdYYzruu",Positivo,59
hugo23oc,,El #iPhoneSE es un iPhone 8 tuneado... eres perverso Apple...,Positivo,66
SrVaryado,"Callao, Perú",".@Apple presentó el nuevo #iPhoneSE. Muy parecido al 8, pero con el nuevo procesador #A13Bionic y cambios que se de… https://t.co/Td6D4ha0HE",Positivo,85
JulioArmijos,GYE,"Resulta que @apple ha lanzado un nuevo iPhone 7 con nuevo nombre y carga inalámbrica

#iPhoneSE https://t.co/CjCrmgDevR",Positivo,84
ferropiposo,Tomorrowland,"Nuevo iPhone SE: 

Chip A13 Bionic
Carga inalámbrica / WIFI6
Compatible con modo retrato 
Pantalla retina HD 4.7 pu… https://t.co/EYfvyPrhHK",Positivo,75
Viatea,prensa@viatea.es,"El nuevo #iPhoneSE es un iPhone 8 por fuera y un iPhone 11 Pro por dentro 🥰

Te invitamos a conocer todos los detalles 🔽🔽",Positivo,75
JPsosa,"Querétaro Arteaga, México","Lanazamiento del #iPhoneSE así como los nuevos de @HuaweiMobileMx @SamsungMexico @MxApple me hacen preguntar
¿Quien… https://t.co/e3vZzCKyDC",Positivo,72
AnaFariasSe,,"Nuevo iPhone SE: 

Chip A13 Bionic
Carga inalámbrica 
Compatible con modo retrato 
Pantalla retina HD 4.7 pulgadas… https://t.co/cP3HpHBkvQ",Positivo,76
gglomener,"Madrid, España",Te gustará más o menos el nuevo #iPhoneSE pero el vídeo es canela fina 😜 https://t.co/IWNuYzNlW6,Positivo,76
Hgarram,,Con ustedes el nuevo #iPhoneSE 👌🏼 https://t.co/IOdw2yTDSh,Positivo,81
Lucenaco_,"Jerez de la Frontera, España",Apple y como cargarse un pedazo dd teléfono con marcos de 2015 #iPhoneSE,Positivo,64
_augustou,"Monterrey, Nuevo León",Necesito ese #iPhoneSE en mis venas.,Positivo,66
ParkBero,"Barcelona, Catalunya",Me lo iba a comprar pensando que tendría el frontal blanco... Pero en negro es como no gracias. @Apple #iPhoneSE https://t.co/Krmnc5khbh,Positivo,84
SirDiegoChi,México,El nuevo #iPhoneSE cuesta en México $11 mil pesos 😂 Es prácticamente lo mismo que el #iPhone8 de 2017 sólo que con… https://t.co/3OYeCMvzGx,Positivo,77
anagadd,,es en serio? pantalla de marco negro hasta para el color blanco? #iPhoneSE,Positivo,55
sabesmacqnadie,En el ciberespacio,"¡Hola #iPhoneSE, adiós iPhone 8! ...y quizás iPhone XR 🤔 https://t.co/M74lxdbE0S",Positivo,74
gadgerss,"Lima, Perú","#Apple presenta el nuevo #iPhoneSE, con chip A13 Bionic por US$ 399 https://t.co/V6yVlt0aEo https://t.co/vx5mzHnO8d",Positivo,78
eduarock28,Lima,"#Apple presenta el nuevo #iPhoneSE, con chip A13 Bionic por US$ 399 https://t.co/5C27fawfYi https://t.co/RNsavXenNu",Positivo,78
applesfera,España,"Especial Applesfera 🔴Live sobre el #iPhoneSE, con @pedroaznar y @eaala... ¡En 10 minutos! 

Justo aquí:… https://t.co/vRZCRmfG3y",Positivo,77
Saulv83,"Culiacán, Sinaloa",El nuevo #iPhoneSE  mas economico de 64 GB 11mil pesos y es barato segun....,Positivo,75
Caracol_Cali,Cali Colombia,"#CaliEsCaracol | #Tecnologia 📱#Apple Lanzó su nuevo #iPhoneSE, será entregado a domicilio después del 24 de abril,… https://t.co/GzuedQG0WQ",Positivo,79
aboutsabela,"Barcelona, Spain","iPhone ""barato"" los cojones! Pero barato DE QUÉ? DE QUÉ!?!? 489 EURAZOS😱😵

#iphonese2020 #iPhoneSE https://t.co/Sr4s5GJkKS",Positivo,68
carlosortegon6,"Merida, Yucatan","F, no sacaron #iPhoneSE de 5.5""",Positivo,61
adrianmillon,"Palma, España",Qué bien lo ha hecho apple. Ese #iphoneSE es una bestia por dentro y viene con un precio razonable.,Positivo,70
javier_rd_,"El Prat de Llobregat, España",El marketing de Apple en españa es maravilloso con el iPhone SE. #Apple #iPhoneSE https://t.co/gfvy3now1V,Positivo,66
iJordiTech,,No puedo estar más de acuerdo. El #iPhoneSE se va a vender muchísimo. https://t.co/ugl0hcLdgE,Positivo,55
chacho_alvarez,"México, no se burlen",Y pues que #apple saca un NUEVO #IPhoneSE https://t.co/D1Uh5Sz3yH,Positivo,84
